koi_disposition,koi_period,koi_duration,koi_depth,koi_impact,koi_model_snr,koi_ror,koi_prad,st_teff,st_logg,st_met,st_mass,st_radius,st_dens
1.0,10.526294577,2.5211,9768.0,0.644,482.3,0.095143,8.24,5386.0,4.553,-0.2,0.82,0.793,2.314
1.0,4.583520948,2.7055,3812.1,0.045,99.5,0.056287,5.39,5815.0,4.54,-0.12,0.973,0.877,2.032
1.0,3.76181843,3.5176,510.6,0.926,35.9,0.025656,2.66,5653.0,4.472,0.1,0.974,0.949,1.607
1.0,8.20396958,2.9667,1024.4,0.823,54.4,0.033372,3.01,5015.0,4.499,0.1,0.785,0.826,1.96
1.0,14.49645186,4.016,647.5,0.97,25.7,0.033377,3.01,5015.0,4.499,0.1,0.785,0.826,1.96
1.0,6.54626149,2.75,655.9,0.644,24.8,0.024555,2.19,5325.0,4.581,0.21,0.95345,0.817,2.2715
1.0,12.71809866,3.0957,1149.4,0.427,52.7,0.030871,2.31,4702.0,4.592,-0.22,0.67,0.686,2.926
1.0,36.06588163,4.3246,1563.8,0.26,51.7,0.035281,2.64,4702.0,4.592,-0.22,0.67,0.686,2.926
1.0,4.190425659,2.8589,2877.4,0.458,240.6,0.050076,6.21,6067.0,4.392,0.2,1.1626500000000002,1.135,1.0392
1.0,3.709870784,3.0694,2020.3,0.023,116.1,0.040686,4.35,5576.0,4.556,0.02,0.95655,0.852,1.8695
1.0,16.3297527,6.271,1187.5,0.791,74.6,0.034822,3.75,5870.0,4.444,-0.06,0.988,0.983,1.4545
1.0,27.807566216,4.21587,25391.1,0.782,748.1,0.161479,13.84,5864.0,4.575,-0.52,0.8617,0.791,2.4805
1.0,80.8723469,11.195,3604.6,0.527,160.9,0.056129,7.59,5665.0,4.549,-0.2,0.85565,0.861,1.57615
0.0,3.166465862,2.9381,4357.2,1.266,122.1,0.348902,26.82,4968.0,4.575,-0.36,0.68,0.704,2.744
1.0,24.99324319,5.9409,269.6,0.686,62.0,0.015956,2.29,5747.0,4.182,0.0,0.9918,1.317,0.5867
1.0,10.35533116,3.1775,750.6,0.029,49.2,0.024674,2.47,5501.0,4.462,0.02,0.891,0.918,1.622
1.0,16.08518937,3.984,1442.4,0.867,62.6,0.040767,3.68,5239.0,4.523,0.0,0.83,0.826,2.076
1.0,7.49018305,2.7297,1123.6,0.02,53.0,0.029843,2.56,5103.0,4.562,0.04,0.8225,0.787,2.381
1.0,36.2761238,4.7865,1572.6,0.035,45.5,0.035273,3.03,5103.0,4.562,0.04,0.8225,0.787,2.381
1.0,17.46087931,2.2641,812.4,0.594,22.6,0.026969,2.32,5103.0,4.562,0.04,0.8225,0.787,2.381
1.0,56.0560754,4.685,1626.0,0.018,27.4,0.036134,1.94,3593.0,4.757,0.2,0.503,0.491,5.985
1.0,41.408316686,5.0264,22838.9,0.377,907.8,0.139516,11.38,5522.0,4.586,-0.46,0.786,0.747,2.653
1.0,5.715425977,2.5242,908.1,0.348,59.4,0.027348,2.47,5228.0,4.585,0.21,0.92405,0.811,2.376
1.0,49.18394185,11.3364,1646.2,0.035,355.7,0.036501,8.2,5634.0,3.907,0.31,1.3118500000000002,2.057,0.1948
1.0,20.0261412,1.611,421.2,0.957,10.7,0.025305,2.28,5228.0,4.585,0.21,0.92405,0.811,2.376
0.0,10.44331991,2.743,1159.8,0.23,51.7,0.030416,2.66,4947.0,4.516,0.08,0.769,0.802,2.099
1.0,2.237489571,1.8119,315.8,0.128,30.7,0.015942,1.41,5228.0,4.6,-0.14,0.8437,0.755,2.72
0.0,5.851520671,3.11058,33003.6,0.211,1630.4,0.166109,14.62,5532.0,4.53,-0.34,0.804,0.806,2.161
1.0,3.167893418,2.1814,781.2,0.026,64.8,0.025513,2.62,5895.0,4.503,-0.02,1.026,0.94,1.741
1.0,4.311780262,2.7251,1154.0,0.196,86.1,0.030716,3.11,5545.0,4.574,-0.2,0.9045,0.805,2.045
1.0,20.0504494,4.556,840.9,0.383,37.8,0.026569,2.69,5545.0,4.574,-0.2,0.9045,0.805,2.045
1.0,9.76734503,1.6585,569.1,0.9,21.1,0.026407,2.67,5545.0,4.574,-0.2,0.9045,0.805,2.045
1.0,190.3200468,15.284,1141.7,0.812,139.3,0.034654,7.78,5634.0,3.907,0.31,1.3118500000000002,2.057,0.1948
0.0,2.861159894,1.8832,1014.3,0.965,58.3,0.039171,4.37,6126.0,4.458,-0.04,1.09,1.021,1.442
1.0,26.44439337,3.9783,1843.5,0.03,88.0,0.038511,3.91,5427.0,4.463,0.16,0.915,0.929,1.608
1.0,51.53997972,6.3994,3644.3,0.183,155.5,0.05435,5.51,5427.0,4.463,0.16,0.915,0.929,1.608
1.0,5.902245782,2.9003,702.3,0.209,59.3,0.023909,2.43,5427.0,4.463,0.16,0.915,0.929,1.608
1.0,2.382951591,1.8876,391.6,0.479,41.4,0.018369,1.86,5427.0,4.463,0.16,0.915,0.929,1.608
1.0,21.02250608,4.1072,1772.5,0.036,62.4,0.037466,3.07,5067.0,4.585,-0.08,0.787,0.75,2.633
1.0,3.219814777,2.0642,488.2,0.06,30.5,0.019702,1.69,5103.0,4.562,0.04,0.8225,0.787,2.381
1.0,5.912273234,2.3254,961.4,0.17,62.8,0.027826,1.73,4072.0,4.696,-0.18,0.588,0.57,4.452
1.0,8.98581901,2.8606,881.3,0.008,51.8,0.026527,1.65,4072.0,4.696,-0.18,0.588,0.57,4.452
0.0,20.5452375,2.517,218.5,0.95,18.5,0.017424,2.41,5667.0,4.223,0.0,0.9345,1.231,0.6781
1.0,33.60123371,4.4056,7425.9,0.67,247.9,0.083298,8.46,5149.0,4.447,0.42,0.882,0.93,1.546
1.0,6.76652928,2.9004,450.7,0.429,29.2,0.019382,1.97,5149.0,4.447,0.42,0.882,0.93,1.546
1.0,4.347288783,2.1024,451.6,0.025,39.7,0.019273,2.36,5714.0,4.562,-0.2,0.9071,0.847,1.829
