kepid,koi_disposition,koi_period,koi_duration,koi_depth,koi_impact,koi_model_snr,koi_num_transits,koi_ror,koi_prad,st_teff,st_logg,st_met,st_mass,st_radius,st_dens,teff_err1,teff_err2,logg_err1,logg_err2,feh_err1,feh_err2,mass_err1,mass_err2,radius_err1,radius_err2
12404086,CONFIRMED,26.39432897,3.573,1510.9,0.602,48.2,51.0,0.03681,3.07,5127.0,4.595,0.02,0.8454999999999999,0.763,2.6195,154.0,-143.0,0.03,-0.115,0.25,-0.28,0.0699,-0.0855499999999999,0.138,-0.057
8395660,CONFIRMED,13.57078281,3.3539,511.7,0.866,88.4,101.0,0.023908,2.64,5854.0,4.406,-0.12,0.951,1.012,1.294,106.0,-117.0,0.09,-0.142,0.15,-0.14,0.07,-0.06335,0.186,-0.103
9579641,CONFIRMED,7.12594387,3.0014,192.4,0.898,47.1,181.0,0.01512,1.79,5779.0,4.339,-0.06,0.941,1.087,1.033,104.0,-115.0,0.132,-0.108,0.15,-0.15,0.0745,-0.056,0.185,-0.142
11656840,FALSE POSITIVE,7.442652004,2.3078,24446.2,0.137,835.6,180.0,0.143936,15.03,6108.0,4.469,-0.3,0.981,0.956,1.582,162.0,-189.0,0.07,-0.274,0.26,-0.3,0.1251,-0.1241,0.375,-0.1
11754553,CONFIRMED,16.38489988,3.0249,1127.1,0.001,28.9,65.0,0.029758,2.0,4126.0,4.661,0.04,0.6305000000000001,0.615,3.829,82.0,-78.0,0.022,-0.022,0.14,-0.14,0.031,-0.035,0.027,-0.029
11754553,CONFIRMED,7.8774163,2.0805,1306.1,0.041,38.7,135.0,0.03209,2.16,4126.0,4.661,0.04,0.6305000000000001,0.615,3.829,82.0,-78.0,0.022,-0.022,0.14,-0.14,0.031,-0.035,0.027,-0.029
11754553,CONFIRMED,36.4454001,4.007,1122.3,0.028,21.7,27.0,0.029681,1.99,4126.0,4.661,0.04,0.6305000000000001,0.615,3.829,82.0,-78.0,0.022,-0.022,0.14,-0.14,0.031,-0.035,0.027,-0.029
11812062,CONFIRMED,3.728732147,2.683,5226.5,0.558,345.2,357.0,0.068178,6.02,5492.0,4.577,-0.1,0.90885,0.809,2.403,165.0,-141.0,0.034,-0.215,0.28,-0.28,0.0737,-0.1005,0.264,-0.07
11818800,CANDIDATE,40.4195037,3.362,6256.0,0.911,36.9,36.0,0.088069,7.51,5446.0,4.507,-0.54,0.714,0.781,2.111,179.0,-155.0,0.116,-0.267,0.35,-0.28,0.123,-0.0395,0.378,-0.095
11853255,CONFIRMED,2.243380573,1.1196,821.7,0.915,38.9,472.0,0.032248,1.99,4149.0,4.698,-0.32,0.5714999999999999,0.557,4.571,82.0,-73.0,0.024,-0.027,0.15,-0.15,0.0289999999999999,-0.037,0.03,-0.033
11909839,FALSE POSITIVE,10.405998015,6.5036,14488.8,0.324,745.2,117.0,0.111248,11.23,5746.0,4.393,-0.54,0.77,0.924,1.373,173.0,-145.0,0.18,-0.225,0.3,-0.24,0.125,-0.0465,0.418,-0.16
11918099,CONFIRMED,2.337437946,1.9982,971.2,0.28,82.4,578.0,0.027998,2.34,4989.0,4.605,-0.1,0.8105,0.727,2.8255,79.0,-79.0,0.031,-0.078,0.15,-0.15,0.055,-0.0675,0.1,-0.056
11918099,CANDIDATE,7.2406612,0.558,556.4,1.198,13.7,168.0,0.232818,19.45,4989.0,4.605,-0.1,0.8105,0.727,2.8255,79.0,-79.0,0.031,-0.078,0.15,-0.15,0.055,-0.0675,0.1,-0.056
9579641,CANDIDATE,3.43591631,3.133,23.2,0.624,8.7,357.0,0.004612,0.55,5779.0,4.339,-0.06,0.941,1.087,1.033,104.0,-115.0,0.132,-0.108,0.15,-0.15,0.0745,-0.056,0.185,-0.142
11923270,CONFIRMED,11.59822233,2.5237,2804.5,0.679,71.0,115.0,0.051287,2.65,3688.0,4.79,0.0,0.503,0.473,6.687,73.0,-91.0,0.05,-0.045,0.14,-0.14,0.036,-0.053,0.037,-0.051
11960862,CONFIRMED,6.575315881,4.3084,2793.3,0.39,221.1,205.0,0.049152,5.31,5992.0,4.415,-0.32,0.927,0.989,1.349,162.0,-176.0,0.105,-0.227,0.3,-0.28,0.129,-0.0965999999999999,0.36,-0.151
12020329,CONFIRMED,7.275040844,7.5377,3001.0,0.547,312.1,188.0,0.051358,4.86,5485.0,4.556,0.21,0.986,0.867,2.133,161.0,-154.0,0.028,-0.161,0.17,-0.25,0.0595,-0.10705,0.199,-0.067
12066335,CONFIRMED,19.27153892,2.7594,1219.8,0.031,37.1,67.0,0.031585,1.93,4077.0,4.702,-0.24,0.5705,0.555,4.632,81.0,-68.0,0.027,-0.027,0.15,-0.15,0.0325,-0.035,0.03,-0.034
12066335,CONFIRMED,10.06524317,1.369,1053.3,0.628,30.3,126.0,0.031153,1.91,4077.0,4.702,-0.24,0.5705,0.555,4.632,81.0,-68.0,0.027,-0.027,0.15,-0.15,0.0325,-0.035,0.03,-0.034
12070811,CONFIRMED,12.3935651,3.8896,916.6,0.883,35.8,107.0,0.032536,2.66,5557.0,4.594,-0.4,0.82175,0.752,2.7305,166.0,-146.0,0.034,-0.207,0.3,-0.26,0.0925,-0.0826,0.267,-0.065
8395660,CONFIRMED,43.84439721,6.802,615.2,0.852,83.7,29.0,0.025934,2.87,5854.0,4.406,-0.12,0.951,1.012,1.294,106.0,-117.0,0.09,-0.142,0.15,-0.14,0.07,-0.06335,0.186,-0.103
3120431,FALSE POSITIVE,3.341913228,3.813,725.3,1.213,39.0,780.0,0.243351,21.55,5290.0,4.552,-0.02,0.854,0.804,2.286,175.0,-146.0,0.049,-0.193,0.3,-0.26,0.0842499999999999,-0.0785,0.252,-0.071
3246984,FALSE POSITIVE,1.626630225,2.1145,1620.6,1.26,103.6,664.0,0.305244,32.43,5735.0,4.41,-0.18,0.889,0.973,1.359,155.0,-155.0,0.124,-0.236,0.28,-0.26,0.123,-0.0809999999999999,0.371,-0.145
3342970,CONFIRMED,2.711504086,3.0099,837.5,0.023,64.5,494.0,0.026533,3.12,6167.0,4.444,0.07,1.1592,1.064,1.332,174.0,-203.0,0.054,-0.216,0.17,-0.3,0.1894,-0.16465,0.428,-0.118
3342970,CONFIRMED,7.21203748,4.0491,950.4,0.012,51.5,165.0,0.028255,3.32,6167.0,4.444,0.07,1.1592,1.064,1.332,174.0,-203.0,0.054,-0.216,0.17,-0.3,0.1894,-0.16465,0.428,-0.118
12459725,FALSE POSITIVE,14.1798187,2.505,459.9,0.1601,11.2,,0.019561,1.88,5799.0,4.539,-0.1,0.975,0.878,2.026,157.0,-168.0,0.033,-0.187,0.24,-0.26,0.10175,-0.1125,0.28,-0.077
12470844,CONFIRMED,8.47237911,2.7245,1123.5,0.022,47.6,159.0,0.030119,2.59,5354.0,4.587,-0.08,0.884,0.788,2.542,159.0,-142.0,0.032,-0.104,0.29,-0.28,0.063,-0.1075,0.113,-0.06
12470844,CONFIRMED,60.4189369,5.039,931.3,0.094,20.1,22.0,0.027422,2.36,5354.0,4.587,-0.08,0.884,0.788,2.542,159.0,-142.0,0.032,-0.104,0.29,-0.28,0.063,-0.1075,0.113,-0.06
12644822,CONFIRMED,12.611904345,5.1497,6105.6,0.55,277.2,104.0,0.073758,7.4,5795.0,4.508,-0.02,0.992,0.919,1.803,156.0,-169.0,0.039,-0.213,0.23,-0.28,0.1174,-0.1115,0.342,-0.091
2440757,FALSE POSITIVE,1.433769925,1.8868,1976.3,1.268,112.6,481.0,0.318591,46.58,6017.0,4.395,-0.46,1.0157,1.099,0.9413,134.0,-157.0,0.126,-0.1885,0.215,-0.2249999999999999,0.11245,-0.0945,0.304,-0.183
